TimeStamp,"Average  Wind Speed
(m/s)","Average  Wind Dirction
(deg)","Average Active Power
(MW)","Forecasted Power 
(kW)"
8/2/21 21:20,14.9800,195.6433,103.0283,103.0742
8/2/21 21:30,15.0500,195.9267,103.0624,103.1305
8/2/21 21:40,15.1300,196.2933,103.1039,103.1261
8/2/21 21:50,14.9033,197.7033,102.9916,103.1416
8/2/21 22:00,14.7967,198.6067,102.9248,103.1539
8/2/21 22:10,14.8733,199.8133,102.9691,103.1684
8/2/21 22:20,14.9700,199.6400,102.9956,103.1814
8/2/21 22:30,14.9567,199.2300,103.0375,103.0628
8/2/21 22:40,14.9633,198.6467,103.0639,103.0843
8/2/21 22:50,14.9000,198.8333,103.0189,103.1004
8/2/21 23:00,14.8867,200.0700,102.9978,103.1539
8/2/21 23:10,14.7867,201.0367,102.9285,103.1683
8/2/21 23:20,14.6633,202.1300,102.9075,103.0480
8/2/21 23:30,14.6200,202.1800,102.8142,103.0670
8/2/21 23:40,14.3433,202.2367,102.6946,103.0302
8/2/21 23:50,14.0733,203.2100,102.5546,103.0495
8/3/21 0:00,14.0400,203.6967,102.5414,103.0664
8/3/21 0:10,14.1867,203.8733,102.6127,102.9979
8/3/21 0:20,14.2833,203.9200,102.6875,102.7394
8/3/21 0:30,14.6800,203.6400,102.9077,102.7705
8/3/21 0:40,14.8533,203.1400,102.9629,102.8655
8/3/21 0:50,14.7300,203.2033,102.9310,102.8906
8/3/21 1:00,14.6000,203.1233,102.8802,102.9125
8/3/21 1:10,14.3967,203.7667,102.7812,103.0739
8/3/21 1:20,14.0100,204.1633,102.5870,102.9990
8/3/21 1:30,13.8467,204.4100,102.4261,103.0178
8/3/21 1:40,14.0367,204.6567,102.5206,103.0213
8/3/21 1:50,13.8800,204.7967,102.4532,102.8721
8/3/21 2:00,13.9833,204.9300,102.5398,102.8744
8/3/21 2:10,14.0667,204.4367,102.5911,102.6852
8/3/21 2:20,13.7667,203.3100,102.3943,102.7141
8/3/21 2:30,13.4400,202.7533,102.1835,102.7489
8/3/21 2:40,13.2600,203.0633,102.0593,102.7623
8/3/21 2:50,13.2167,202.2567,102.0199,102.6298
8/3/21 3:00,13.4667,201.0200,102.1156,102.6477
8/3/21 3:10,13.7800,199.3233,102.3374,102.4293
8/3/21 3:20,13.6233,199.1233,102.3234,102.4687
8/3/21 3:30,13.2367,198.9900,102.0527,102.4465
8/3/21 3:40,13.0100,199.1733,101.8531,102.4802
8/3/21 3:50,12.4700,200.4767,101.6043,102.5330
8/3/21 4:00,12.0867,200.0933,101.2465,102.5627
8/3/21 4:10,12.1467,199.2600,101.3066,102.2253
8/3/21 4:20,12.5333,198.9967,101.5296,102.2640
8/3/21 4:30,12.7033,199.4833,101.6910,101.9426
8/3/21 4:40,12.5933,199.3733,101.5939,101.9308
8/3/21 4:50,12.3233,199.1300,101.4554,101.8472
8/3/21 5:00,11.9367,198.6767,101.2444,101.8293
8/3/21 5:10,12.0233,198.4267,101.2720,101.7998
8/3/21 5:20,11.9867,199.0733,101.2608,101.7645
8/3/21 5:30,12.1633,199.2000,101.3484,101.4343
8/3/21 5:40,12.1833,198.9967,101.4122,101.3110
8/3/21 5:50,11.8267,199.6200,101.0980,101.1881
8/3/21 6:00,11.5900,199.4700,100.5874,101.2264
8/3/21 6:10,11.4600,199.1500,100.0951,101.0811
8/3/21 6:20,11.4567,198.4567,100.2110,100.4067
8/3/21 6:30,11.5667,197.8400,100.2943,100.2435
8/3/21 6:40,11.8500,196.7033,100.8752,100.1019
8/3/21 6:50,11.6400,195.6333,100.7987,99.6523
8/3/21 7:00,11.3100,195.1633,100.0933,99.5123
8/3/21 7:10,11.1067,194.5000,99.1402,100.3033
8/3/21 7:20,10.8733,194.7900,97.2316,99.6921
8/3/21 7:30,10.6400,195.5267,95.0037,99.5125
8/3/21 7:40,10.3400,196.8000,90.6962,97.3199
8/3/21 7:50,10.1033,198.5300,86.0582,97.4378
8/3/21 8:00,9.9833,199.1900,83.1607,93.4975
8/3/21 8:10,9.9633,197.8533,81.8251,93.7534
8/3/21 8:20,10.0500,198.7900,83.2510,93.9633
8/3/21 8:30,9.8667,200.1467,79.4601,86.5456
8/3/21 8:40,9.9433,201.1767,81.6904,87.2668
8/3/21 8:50,9.6067,201.5567,75.6036,87.8367
8/3/21 9:00,9.2100,201.8633,67.5322,88.3500
8/3/21 9:10,9.2567,202.3133,69.3092,87.5418
8/3/21 9:20,9.1933,202.5867,67.1182,88.0890
8/3/21 9:30,9.2233,202.7133,67.9836,76.2717
8/3/21 9:40,9.1233,204.4000,66.7834,74.1431
8/3/21 9:50,8.7033,205.7500,57.5479,75.2004
8/3/21 10:00,8.6667,204.6033,56.6480,75.1382
8/3/21 10:10,8.4767,201.7533,52.9474,76.0879
8/3/21 10:20,8.4200,200.0300,52.2427,76.9107
8/3/21 10:30,8.3233,199.4367,50.6502,66.8764
8/3/21 10:40,8.5933,199.7200,56.0689,68.0387
8/3/21 10:50,8.9400,199.1767,62.5607,63.9778
8/3/21 11:00,8.8767,199.2133,61.3585,65.1752
8/3/21 11:10,8.9700,199.6000,63.3499,66.1033
8/3/21 11:20,8.7100,199.6100,58.4887,67.2354
8/3/21 11:30,8.5600,198.8200,54.9833,70.0912
8/3/21 11:40,8.6333,197.7900,56.6304,70.9848
8/3/21 11:50,8.5333,196.8833,55.0554,67.6673
8/3/21 12:00,8.4800,196.8300,54.2932,68.5783
8/3/21 12:10,8.5733,195.5400,55.6506,65.4922
8/3/21 12:20,8.7733,194.4633,59.4698,66.4658
8/3/21 12:30,9.0033,194.4033,64.1275,64.3178
8/3/21 12:40,8.8833,193.3733,61.4561,65.6540
8/3/21 12:50,8.9967,191.0567,64.0954,68.3516
8/3/21 13:00,9.1133,190.2533,66.1666,69.6348
8/3/21 13:10,9.0667,190.1900,65.2802,72.9033
8/3/21 13:20,8.7067,189.0533,57.9759,73.4886
8/3/21 13:30,8.5500,187.3200,54.8043,74.7281
8/3/21 13:40,8.4300,186.1300,53.0183,65.6508
8/3/21 13:50,8.4033,185.9233,52.2455,67.1305
8/3/21 14:00,8.5333,185.9133,54.4494,62.9760
8/3/21 14:10,8.4567,184.7567,53.1169,64.5893
8/3/21 14:20,8.5467,186.5033,54.8542,66.0465
8/3/21 14:30,8.5600,185.7233,54.8259,65.7903
8/3/21 14:40,8.6467,184.9867,56.4600,64.2663
8/3/21 14:50,8.6167,194.3567,56.2768,65.7579
8/3/21 15:00,8.4433,194.1467,53.2369,65.5216
8/3/21 15:10,8.2633,194.7867,49.9084,67.0705
8/3/21 15:20,8.7833,194.9133,59.1906,68.4732
8/3/21 15:30,9.1633,184.8433,66.0074,66.8223
8/3/21 15:40,9.3133,184.6800,68.1492,68.1835
8/3/21 15:50,9.4167,195.6233,69.8555,68.8896
8/3/21 16:00,9.8667,194.2533,80.0804,74.6835
8/3/21 16:10,10.1133,193.8400,86.7827,75.8827
8/3/21 16:20,10.4867,193.2400,93.0341,83.8304
8/3/21 16:30,10.8400,191.5833,97.3435,84.7626
8/3/21 16:40,10.9567,188.5067,98.0078,92.5289
8/3/21 16:50,11.0833,186.8967,99.2397,92.9597
8/3/21 17:00,11.1933,185.7733,99.4390,93.3536
8/3/21 17:10,11.0833,185.5167,98.0213,99.3332
8/3/21 17:20,10.8100,184.9400,96.0313,99.5728
8/3/21 17:30,11.1433,185.3867,98.4673,99.7556
8/3/21 17:40,11.4833,184.7433,99.7216,97.6623
8/3/21 17:50,11.6033,185.0600,100.6539,97.8944
