Date & Time,"Average  Wind Speed
(m/s)"," Average  Wind Dirction
(deg) "," Average Active Power
(MW) "," Forecasted Power 
(kW) "
8/3/2021 4:00,12.09,200.09,101.25,102.56
8/3/2021 4:10,12.15,199.26,101.31,102.23
8/3/2021 4:20,12.53,199,101.53,102.26
8/3/2021 4:30,12.7,199.48,101.69,101.94
8/3/2021 4:40,12.59,199.37,101.59,101.93
8/3/2021 4:50,12.32,199.13,101.46,101.85
8/3/2021 5:00,11.94,198.68,101.24,101.83
8/3/2021 5:10,12.02,198.43,101.27,101.8
8/3/2021 5:20,11.99,199.07,101.26,101.76
8/3/2021 5:30,12.16,199.2,101.35,101.43
8/3/2021 5:40,12.18,199,101.41,101.31
8/3/2021 5:50,11.83,199.62,101.1,101.19
8/3/2021 6:00,11.59,199.47,100.59,101.23
8/3/2021 6:10,11.46,199.15,100.1,101.08
8/3/2021 6:20,11.46,198.46,100.21,100.41
8/3/2021 6:30,11.57,197.84,100.29,100.24
8/3/2021 6:40,11.85,196.7,100.88,100.1
8/3/2021 6:50,11.64,195.63,100.8,99.65
8/3/2021 7:00,11.31,195.16,100.09,99.51
8/3/2021 7:10,11.11,194.5,99.14,100.3
8/3/2021 7:20,10.87,194.79,97.23,99.69
8/3/2021 7:30,10.64,195.53,95,99.51
8/3/2021 7:40,10.34,196.8,90.7,97.32
8/3/2021 7:50,10.1,198.53,86.06,97.44
8/3/2021 8:00,9.98,199.19,83.16,93.5
8/3/2021 8:10,9.96,197.85,81.83,93.75
8/3/2021 8:20,10.05,198.79,83.25,93.96
8/3/2021 8:30,9.87,200.15,79.46,86.55
8/3/2021 8:40,9.94,201.18,81.69,87.27
8/3/2021 8:50,9.61,201.56,75.6,87.84
8/3/2021 9:00,9.21,201.86,67.53,88.35
8/3/2021 9:10,9.26,202.31,69.31,87.54
8/3/2021 9:20,9.19,202.59,67.12,88.09
8/3/2021 9:30,9.22,202.71,67.98,76.27
8/3/2021 9:40,9.12,204.4,66.78,74.14
8/3/2021 9:50,8.7,205.75,57.55,75.2
8/3/2021 10:00,8.67,204.6,56.65,75.14
8/3/2021 10:10,8.48,201.75,52.95,76.09
8/3/2021 10:20,8.42,200.03,52.24,76.91
8/3/2021 10:30,8.32,199.44,50.65,66.88
8/3/2021 10:40,8.59,199.72,56.07,68.04
8/3/2021 10:50,8.94,199.18,62.56,63.98
8/3/2021 11:00,8.88,199.21,61.36,65.18
8/3/2021 11:10,8.97,199.6,63.35,66.1
8/3/2021 11:20,8.71,199.61,58.49,67.24
8/3/2021 11:30,8.56,198.82,54.98,70.09
8/3/2021 11:40,8.63,197.79,56.63,70.98
8/3/2021 11:50,8.53,196.88,55.06,67.67
3/8/2021,8.48,196.83,54.29,68.58
8/3/2021 12:10,8.57,195.54,55.65,65.49
8/3/2021 12:20,8.77,194.46,59.47,66.47
8/3/2021 12:30,9,194.4,64.13,64.32
8/3/2021 12:40,8.88,193.37,61.46,65.65
8/3/2021 12:50,9,191.06,64.1,68.35
8/3/2021 13:00,9.11,190.25,66.17,69.63
8/3/2021 13:10,9.07,190.19,65.28,72.9
8/3/2021 13:20,8.71,189.05,57.98,73.49
8/3/2021 13:30,8.55,187.32,54.8,74.73
8/3/2021 13:40,8.43,186.13,53.02,65.65
8/3/2021 13:50,8.4,185.92,52.25,67.13
8/3/2021 14:00,8.53,185.91,54.45,62.98
8/3/2021 14:10,8.46,184.76,53.12,64.59
8/3/2021 14:20,8.55,186.5,54.85,66.05
8/3/2021 14:30,8.56,185.72,54.83,65.79
8/3/2021 14:40,8.65,184.99,56.46,64.27
8/3/2021 14:50,8.62,194.36,56.28,65.76
8/3/2021 15:00,8.44,194.15,53.24,65.52
8/3/2021 15:10,8.26,194.79,49.91,67.07
8/3/2021 15:20,8.78,194.91,59.19,68.47
8/3/2021 15:30,9.16,184.84,66.01,66.82
8/3/2021 15:40,9.31,184.68,68.15,68.18
8/3/2021 15:50,9.42,195.62,69.86,68.89
8/3/2021 16:00,9.87,194.25,80.08,74.68
8/3/2021 16:10,10.11,193.84,86.78,75.88
8/3/2021 16:20,10.49,193.24,93.03,83.83
8/3/2021 16:30,10.84,191.58,97.34,84.76
8/3/2021 16:40,10.96,188.51,98.01,92.53
8/3/2021 16:50,11.08,186.9,99.24,92.96
8/3/2021 17:00,11.19,185.77,99.44,93.35
8/3/2021 17:10,11.08,185.52,98.02,99.33
8/3/2021 17:20,10.81,184.94,96.03,99.57
8/3/2021 17:30,11.14,185.39,98.47,99.76
8/3/2021 17:40,11.48,184.74,99.72,97.66
8/3/2021 17:50,11.6,185.06,100.65,97.89
8/3/2021 18:00,11.66,184.46,100.8,100.43
8/3/2021 18:10,11.65,185.13,100.83,100.55
8/3/2021 18:20,11.88,185.41,101.24,101.29
8/3/2021 18:30,12.18,185.23,101.41,101.37
8/3/2021 18:40,12.6,184.58,101.55,101.67
